p,cooperativity,gpg_mode,factor,eig_index,num_pulses,theta_l,background_theta,delta_l,state_fidelity,state_infidelity,trace_state,phase_aligned_state_error,source,sequence_file
0.0005,1000000.0,erroneous,feedback U_2,7,10,2.232288807941853,0.0,2.2322888079418526,0.9458902618019203,0.05410973819807974,0.9797829417857229,,optimized feedback U_2:7 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_2__eig_07.csv
0.0005,1000000.0,erroneous,feedback U_3,1,11,3.141592653589793,0.0,-3.141592653589793,0.9409938375750787,0.059006162424921293,0.9809957910881757,,optimized feedback U_3:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_3__eig_01.csv
0.0005,1000000.0,erroneous,feedback U_3,2,11,-3.140292651857663,0.0,-3.140292651857663,0.9472194318330813,0.05278056816691867,0.975446240246282,,optimized feedback U_3:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_3__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_3,3,9,3.140292651857663,0.0,3.1402926518576635,0.925999716707465,0.07400028329253505,0.9732685959837697,,optimized feedback U_3:3 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_3__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_3,4,7,1.6986727808523494,0.0,1.6986727808523492,0.9473305742668655,0.05266942573313449,0.984527753634192,,optimized feedback U_3:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_3__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_3,5,9,-1.6986727808523494,0.0,-1.6986727808523494,0.9522229118606567,0.04777708813934334,0.9742356340512812,,optimized feedback U_3:5 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_3__eig_05.csv
0.0005,10000000.0,erroneous,stage 0 split entangler,8,10,1.664765428089207e-17,1.5707963267948966,-1.5707963267948966,0.973558157191703,0.026441842808296978,0.9902443619484758,,optimized stage 0 split entangler:8 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__stage_0_split_entangler__eig_08.csv
0.0005,10000000.0,erroneous,stage 0 split entangler,9,11,3.213603196589359e-17,1.5707963267948966,-1.5707963267948966,0.978371227269813,0.02162877273018704,0.9899212397175259,,optimized stage 0 split entangler:9 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__stage_0_split_entangler__eig_09.csv
0.0005,10000000.0,erroneous,stage 1 split entangler,1,8,1.5707963267948966,0.0,1.5707963267948966,0.9733371590934707,0.02666284090652926,0.9915623982347863,,optimized stage 1 split entangler:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__stage_1_split_entangler__eig_01.csv
0.0005,10000000.0,erroneous,stage 1 split entangler,2,8,1.5707963267948968,0.0,1.5707963267948966,0.9865619552686239,0.013438044731376109,0.9917086152243454,,optimized stage 1 split entangler:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__stage_1_split_entangler__eig_02.csv
0.0005,10000000.0,erroneous,feedback U_0,0,9,3.141592653589793,0.0,-3.141592653589793,0.9828333762760106,0.01716662372398936,0.9920517018948928,,optimized feedback U_0:0 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_0__eig_00.csv
0.0005,10000000.0,erroneous,feedback U_0,2,9,-3.141592653589793,0.0,-3.141592653589793,0.9809405922006873,0.0190594077993127,0.9918544548899406,,optimized feedback U_0:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_0__eig_02.csv
0.0005,10000000.0,erroneous,feedback U_0,3,9,-1.0431972350159253,0.0,-1.043197235015925,0.9801808368300621,0.019819163169937926,0.9932982810148716,,optimized feedback U_0:3 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_0__eig_03.csv
0.0005,10000000.0,erroneous,feedback U_0,4,9,1.0431972350159253,0.0,1.043197235015925,0.9789081045643557,0.02109189543564427,0.9934550422769077,,optimized feedback U_0:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_0__eig_04.csv
0.0005,10000000.0,erroneous,feedback U_1,0,8,-1.928462093792922,0.0,-1.928462093792922,0.9758332548574953,0.02416674514250472,0.9889673869922231,,optimized feedback U_1:0 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_1__eig_00.csv
0.0005,10000000.0,erroneous,feedback U_1,1,8,-3.011647858062096,0.0,-3.011647858062096,0.9809171236749764,0.01908287632502359,0.9897925140331456,,optimized feedback U_1:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_1__eig_01.csv
0.0005,10000000.0,erroneous,feedback U_1,2,8,3.011647858062096,0.0,3.011647858062096,0.9862294279473072,0.013770572052692831,0.9931604690589859,,optimized feedback U_1:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_1__eig_02.csv
0.0005,10000000.0,erroneous,feedback U_1,3,8,1.928462093792922,0.0,1.9284620937929216,0.9818342822721987,0.01816571772780129,0.9899843280568201,,optimized feedback U_1:3 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_1__eig_03.csv
0.0005,10000000.0,erroneous,feedback U_1,4,8,-1.0752719710619874,0.0,-1.0752719710619871,0.9830447149211241,0.016955285078875892,0.9934588206719374,,optimized feedback U_1:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_1__eig_04.csv
0.0005,10000000.0,erroneous,feedback U_1,5,8,-0.662222567798154,0.0,-0.6622225677981541,0.987380190438543,0.01261980956145703,0.9966626997172492,,optimized feedback U_1:5 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_1__eig_05.csv
0.0005,10000000.0,erroneous,feedback U_1,7,8,0.6622225677981539,0.0,0.6622225677981541,0.9738254758297263,0.02617452417027366,0.989355104479587,,optimized feedback U_1:7 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_1__eig_07.csv
0.0005,10000000.0,erroneous,feedback U_1,8,8,1.0752719710619876,0.0,1.0752719710619871,0.9830060628873141,0.01699393711268593,0.9942203780085552,,optimized feedback U_1:8 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_1__eig_08.csv
0.0005,10000000.0,erroneous,feedback U_2,0,10,-1.4081683845217599,0.0,-1.4081683845217599,0.9910769074156077,0.008923092584392278,0.9969685304824516,,optimized feedback U_2:0 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_2__eig_00.csv
0.0005,10000000.0,erroneous,feedback U_2,1,10,-2.232288807941853,0.0,-2.232288807941853,0.9879746547703694,0.012025345229630613,0.9954957256148752,,optimized feedback U_2:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_2__eig_01.csv
0.0005,10000000.0,erroneous,feedback U_2,2,10,-0.4834513333424722,0.0,-0.48345133334247237,0.9919307907021359,0.008069209297864144,0.9966296770977453,,optimized feedback U_2:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_2__eig_02.csv
0.0005,10000000.0,erroneous,feedback U_2,4,9,0.4834513333424722,0.0,0.48345133334247237,0.9902508810303284,0.009749118969671566,0.9980439067348422,,optimized feedback U_2:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_2__eig_04.csv
0.0005,10000000.0,erroneous,feedback U_2,5,10,3.141592653589793,0.0,-3.141592653589793,0.9843907378658892,0.015609262134110846,0.9929139896048685,,optimized feedback U_2:5 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_2__eig_05.csv
0.0005,10000000.0,erroneous,feedback U_2,6,10,1.4081683845217599,0.0,1.40816838452176,0.9817679326618385,0.018232067338161517,0.9929795358153632,,optimized feedback U_2:6 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_2__eig_06.csv
0.0005,10000000.0,erroneous,feedback U_2,7,10,2.232288807941853,0.0,2.2322888079418526,0.9802113414777329,0.019788658522267077,0.9912315892642403,,optimized feedback U_2:7 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_2__eig_07.csv
0.0005,10000000.0,erroneous,feedback U_3,1,11,3.141592653589793,0.0,-3.141592653589793,0.9804457175962277,0.019554282403772327,0.9937322685597625,,optimized feedback U_3:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_3__eig_01.csv
0.0005,10000000.0,erroneous,feedback U_3,2,11,-3.140292651857663,0.0,-3.140292651857663,0.9829776499990477,0.017022350000952313,0.9920220437265264,,optimized feedback U_3:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_3__eig_02.csv
0.0005,10000000.0,erroneous,feedback U_3,3,9,3.140292651857663,0.0,3.1402926518576635,0.9750359961892517,0.02496400381074826,0.9924057447832688,,optimized feedback U_3:3 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_3__eig_03.csv
0.0005,10000000.0,erroneous,feedback U_3,4,7,1.6986727808523494,0.0,1.6986727808523492,0.9827834387922261,0.01721656120777393,0.9956893174741991,,optimized feedback U_3:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_3__eig_04.csv
0.0005,10000000.0,erroneous,feedback U_3,5,9,-1.6986727808523494,0.0,-1.6986727808523494,0.9846629919152938,0.015337008084706172,0.9917803599491092,,optimized feedback U_3:5 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__feedback_u_3__eig_05.csv
0.0005,100000000.0,erroneous,stage 0 split entangler,8,10,1.664765428089207e-17,1.5707963267948966,-1.5707963267948966,0.9888101391695906,0.011189860830409404,0.9953981963921119,,optimized stage 0 split entangler:8 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__stage_0_split_entangler__eig_08.csv
0.0005,100000000.0,erroneous,stage 0 split entangler,9,11,3.213603196589359e-17,1.5707963267948966,-1.5707963267948966,0.9899256803525481,0.010074319647451868,0.9946914700062615,,optimized stage 0 split entangler:9 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__stage_0_split_entangler__eig_09.csv
0.0005,100000000.0,erroneous,stage 1 split entangler,1,8,1.5707963267948966,0.0,1.5707963267948966,0.9911740454844957,0.008825954515504275,0.9972650750854175,,optimized stage 1 split entangler:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__stage_1_split_entangler__eig_01.csv
0.0005,100000000.0,erroneous,stage 1 split entangler,2,8,1.5707963267948968,0.0,1.5707963267948966,0.9930798780989801,0.006920121901019871,0.9981654773346831,,optimized stage 1 split entangler:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__stage_1_split_entangler__eig_02.csv
0.0005,100000000.0,erroneous,feedback U_0,0,9,3.141592653589793,0.0,-3.141592653589793,0.9856235952363084,0.01437640476369162,0.9937083052561754,,optimized feedback U_0:0 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_0__eig_00.csv
0.0005,100000000.0,erroneous,feedback U_0,2,9,-3.141592653589793,0.0,-3.141592653589793,0.9923648061372381,0.007635193862761902,0.997232977259072,,optimized feedback U_0:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_0__eig_02.csv
0.0005,100000000.0,erroneous,feedback U_0,3,9,-1.0431972350159253,0.0,-1.043197235015925,0.9899876295296401,0.010012370470359855,0.9963852286878554,,optimized feedback U_0:3 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_0__eig_03.csv
0.0005,100000000.0,erroneous,feedback U_0,4,9,1.0431972350159253,0.0,1.043197235015925,0.9930281847664086,0.006971815233591361,0.9977188505625698,,optimized feedback U_0:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_0__eig_04.csv
0.0005,100000000.0,erroneous,feedback U_1,0,8,-1.928462093792922,0.0,-1.928462093792922,0.986893584133377,0.013106415866622978,0.9948597264176584,,optimized feedback U_1:0 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_1__eig_00.csv
0.0005,100000000.0,erroneous,feedback U_1,1,8,-3.011647858062096,0.0,-3.011647858062096,0.9881235664841125,0.011876433515887519,0.9954997484692637,,optimized feedback U_1:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_1__eig_01.csv
0.0005,100000000.0,erroneous,feedback U_1,2,8,3.011647858062096,0.0,3.011647858062096,0.9942168968916851,0.005783103108314869,0.99764533885277,,optimized feedback U_1:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_1__eig_02.csv
0.0005,100000000.0,erroneous,feedback U_1,3,8,1.928462093792922,0.0,1.9284620937929216,0.9879190432119485,0.012080956788051544,0.9947862411464432,,optimized feedback U_1:3 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_1__eig_03.csv
0.0005,100000000.0,erroneous,feedback U_1,4,8,-1.0752719710619874,0.0,-1.0752719710619871,0.993063728265658,0.00693627173434197,0.9970648762972525,,optimized feedback U_1:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_1__eig_04.csv
