p,cooperativity,gpg_mode,factor,eig_index,pulse,alpha,beta,gamma,kappa,sequence_file
0.0005,1000000.0,erroneous,stage 1 split entangler,1,4,1.6424379705522125,-0.956650209836374,-2.1275786954784235,2.8539446466811405,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_01.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,1,5,-1.8052228576999094,2.3579840150220672,2.4178221338694312,-2.823353580857616,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_01.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,1,6,1.9696603287271588,-1.8103809855753086,-1.0687684901901282,1.6401853738786358,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_01.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,1,7,-0.062254273791726336,0.26141373241180205,0.10323080776094021,0.31409043029541356,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_01.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,1,8,0.03085062189786602,0.11924487765304917,-0.004475980776356233,1.7779760527418494e-05,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_01.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,2,1,-0.8662016390226803,2.6917715980353996,-3.0921547941483727,-9.89191020420502e-06,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_02.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,2,2,2.576220057377783,1.999090767854703,-1.0819890691102,2.152284296458132,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_02.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,2,3,-1.2972193586140828,2.54004277162707,2.5762963909143957,-1.3300232594350108,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_02.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,2,4,-2.272370606489044,2.3762112726990376,-1.8993228899630552,-2.576894006775092,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_02.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,2,5,0.7039557941337462,1.3611981782183906,-0.6176030529542476,0.2570709126708031,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_02.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,2,6,-0.8784068223734369,-0.3784214763604947,0.9838728671867742,0.8707749274674056,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_02.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,2,7,0.16759730598699615,0.3358935311616337,-0.8817897355555744,-0.522985625262154,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_02.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,2,8,-0.008510065284730155,-0.8504157494109016,0.15409893610711395,-0.056616762354823,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,0,1,3.138195072871804,-1.9184191741321202,3.00563113220564,-0.0001942404856320171,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_0,0,2,-0.07987673765175428,0.6341056866046227,-0.829698896901295,0.14598509529181,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_0,0,3,-0.4216479287685801,0.04213412299158032,2.8388498937506155,-2.181924082494235,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_0,0,4,0.06476455499053765,-2.7073524363248453,-0.9805812788940995,-0.6186462367390797,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_0,0,5,-1.277800930986322,2.255113283081774,0.2575964579918809,-2.854272264758268,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_0,0,6,1.899409929288269,0.4708861816492404,-1.4639136473080852,1.6793838043784528,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_0,0,7,0.16672237302301787,-1.4834032888907875,-1.8073018652160504,2.74083982834738,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_0,0,8,1.8699106487485317,-2.4937812187434187,1.2560759368561654,-0.681519139102453,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_0,0,9,1.5721122534983722,1.5619484048080796,2.8373707758858053,2.6423438488496664,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_00.csv
