pulse_index,alpha,beta,gamma,kappa,detuning
1,0.36200708911646373,1.8824916854165592,1.8386042828451998,-0.00050460472902770764,2.9733410637785584
2,-0.94924965921066407,-0.47045744757887903,1.2354821712126625,0.071484924450578108,1.1363277554623004
3,1.0470247909563897,1.3998128824400706,-0.16340399934242669,-2.0044426682532515,0.63112627531785592
4,2.7851118618516861,-2.7585502144840817,0.44108739492322652,0.66915853921777402,1.7165997644923014
5,0.96278542201302519,0.83283040836125144,1.086871383104731,0.19748451241417778,2.2902815690574858
6,-2.9275278380180572,0.76255821896276432,-2.5173416754341145,1.9351838777638191,1.259996891321125
7,-3.0176519074109751,-0.14076780816965936,2.4602524426129175,0.85761647233535199,0.8772082743813121
8,2.2034115097827023,-3.1415926535897931,-0.26700174614019551,-0.21122386111350308,0.95014490301415955
9,-1.7973338530801917,1.155461561361188,2.2088772351288464,-1.5108327633474761,3.5102588532880339
10,-2.609746377622248,1.4140537971628799,3.0458558113155911,0.12815889827057403,1.1421087411199033
