pulse_index,alpha,beta,gamma,kappa,detuning
1,2.5863293936051042,-3.1415161935947875,1.6044580659206369,0.71540440668643657,0.050000000000000003
2,0.88514930956854632,-0.43472203216555311,1.2578680723472133,-3.0767274925031485,0.92280333418810623
3,-0.2090524324306931,-1.8147889724612878,0.54763338640203196,1.6404207458227278,0.95388790117140221
4,-1.956403076176465,2.470577305594019,0.45738963572099806,-0.73222512234887038,0.87063986519829306
5,-0.38585407972897467,1.0806439166079105,-2.6039016545416698,-1.3637808378383409,1.2189443673438169
6,-1.5962641435674343,-1.0460860042581697,0.81672432805580075,0.021191720211430239,1.2250934123373933
7,-1.7487121164232284,1.1880791093883567,-1.5871956800492593,-0.83886836173238455,1.3869180826072169
8,-2.2353110012267092,0.054105844529744852,0.80252927092084625,-1.6829889099015645,1.4368858419652473
