pulse_index,alpha,beta,gamma,kappa,detuning
1,0.47172205888340391,-1.8787905162033807,-2.52330991535091,-1.0663750034135864,0.050000000000000003
2,2.4476552457620397,1.1937405743286489,2.0269695219144692,-0.23981862649541741,0.9056983207913839
3,-1.5247671215484264,-2.8269170071307959,0.052627831806982363,-2.7404737061472195,1.4789940637694825
4,0.85240174528414114,-2.7541800689158138,-2.6241603722467044,2.3089934390583897,0.54431108470680711
5,0.090706646641345728,-0.31948891670894808,1.4682468183503943,-1.6547734906481346,1.5317135471165046
6,-2.4931642142579138,3.0980809590687928,0.49558327173047717,2.6783613947389564,1.488730716637928
7,0.91445788491107693,1.8568772933537927,-1.6649247943039067,0.057945503380183845,0.89086277571726724
8,-1.9266846368255899,3.1343984694471927,1.3305742303011636,1.7081502295387216,1.0034377050648156
9,-2.8509579009975052,0.6235827626767283,1.854802648595153,0.16488922768646261,0.99205047993080797
10,-1.5215937990222779,2.9192804467472109,-2.8509570985987591,2.984551759031508,1.1364961121000374
