pulse_index,alpha,beta,gamma,kappa,detuning
1,-1.3559344299567253,-0.75956948220883469,-0.041423966005443624,-0.10975782162439127,0.45525680180535377
2,3.0066998313703381,-1.1052294650866337,1.7011285990071625,-0.34126318345635676,0.83636251363948844
3,-2.8481649438612835,-2.1723314672802392,-1.8651088016600892,0.023515507315010467,1.0461602501407208
4,1.7146395138600707,-1.137400717062486,-1.0794804508057625,2.6544907435690881,1.1062832703496537
5,2.5643002110484781,0.2381508589093628,-2.6853949296941795,1.1230498978376082,1.1427090055609088
6,-0.12737264642034507,-0.30301058889439564,1.0366503057821068,0.2606959808837036,1.1203754014164933
7,-0.76471969241673243,-0.9286673425032882,0.27727048214918698,0.21275596828681542,1.0828073850832824
8,-2.4866210302474623,2.9006343414195541,0.82310636822274963,-0.94502912349448953,1.0665316373250775
9,-1.1769445543583825,1.4483604178850951,1.9446512706829451,2.6550115467342281,0.89494648904814234
10,-0.72984329118712465,-1.9580280152790317,1.9198416515896601,2.5097130042682965,1.4293297799530476
11,0.76288150506145169,2.8708766921088276,-1.3797567217792557,0.53315919915551002,1.1212187375953433
