pulse_index,alpha,beta,gamma,kappa,detuning
1,1.0285901061085569,-1.0048301596920537,1.8534777841832999,-2.8881165405191997,0.097576394911839906
2,-1.0565765443019697,1.3362928036754556,0.29302694847955224,-0.46974065972731199,0.90406109106027555
3,1.9341323809484869,-2.8082728965049397,-2.8850252766933675,-1.1343336052025219,1.056620501957432
4,2.6670727904012015,-0.86958429478610322,2.9742550895147426,-1.0445314127608665,1.1076786414837743
5,1.7278230203085145,1.4951854034844443,-0.58551485855065388,0.34843572490837427,1.0353012058749818
6,1.6073941998566201,2.0657585753350203,0.23948040659374203,2.9951634291452094,0.99353923944166855
7,0.64223185010146533,1.1873167142531929,-2.1440961494495103,2.9998328909144543,1.4232476831279259
8,2.1665893749982046,-0.21669935313797789,0.16388175567690477,3.1151932518560228,0.99958082597309927
9,1.3186913228717505,-2.4855396985412552,2.7572291679087524,3.0821943238393397,1.0509562454554064
10,-1.5337348188225506,-0.3699770013640018,-0.88243536029973002,-1.5125846274723509,1.1142478546186985
