pulse_index,alpha,beta,gamma,kappa,detuning
1,0.45930951396010217,-1.1104629977135974,-2.289130030466473,-1.7898800994603394,0.050000000000000003
2,-3.1079041401470096,-0.67822034980249946,2.3473306086381611,0.58910975605417726,0.85694846101154343
3,-0.88719017191265981,-1.6188027070010511,1.0293046320640347,0.20666555184035501,0.97932221075447523
4,0.76771202355057211,-1.5715183253279552,-1.4473729788834364,0.60397591097504422,1.0119392214664993
5,-0.36508768667574937,-1.339898594042449,-0.96210603198200539,-1.5223487214507991,0.93794980086441171
6,-0.77184548136203712,-3.1300787893649753,2.4981497961633621,3.0769457654761245,1.0846922934399732
7,-3.062003102832203,-2.01896155595756,-0.54805924275576823,-0.0010413552733192749,0.99264370646345268
8,-1.6044596182371447,1.8583540444696265,-1.8993614364956011,-2.0132736936841771,1.1446712956340122
9,-2.079633190393912,-2.5707146479093832,-1.997469371060862,2.7593598652702367,1.1811331172608965
10,2.8905817333930237,1.7315664705926541,-0.45971751477343509,1.4489318292687219,1.1575966026508944
11,0.50234572911969133,1.1400845545200013,-0.034389742829456532,2.2951915251656669,1.1657745215695896
