pulse_index,alpha,beta,gamma,kappa,detuning
1,1.1276263832474369,0.64755381950135016,-1.8873921935475158,2.7030107806041039,0.050000000000000003
2,1.4814729075684596,-1.4068578788948538,2.2874001325795765,-1.2101737303693829,0.69363820725971004
3,-1.103441542833655,-3.0941443352884579,-0.47712548757347623,-0.90032007683000315,1.3092348727217811
4,-1.7213550224484861,-0.30659864190740732,2.589122868475346,-0.5678327064045342,1.1953953588413715
5,0.36384598779683019,-0.29966404008762026,-1.5313766781734353,-2.4477814279171186,1.8392292054771322
6,-3.1226778018453958,2.3612911758648729,-3.0994643885085411,1.4832396042399043,1.4754948971474011
7,-2.2136908868940477,-1.591180805916951,-3.1226772667826004,-1.1201711977427629,1.4027842183399035
8,-3.1343045418607018,0.50354477940067977,-1.5244537926306425,-0.86534070322469614,1.2326384169065809
9,-3.0809864574650874,-0.12085821374599302,-0.38885928330911057,2.0453028724696294,1.3029601683037733
10,2.0958811608542969,-2.2894986910250799,0.072650171260660687,2.7714556529267962,1.3965640286687977
