pulse_index,alpha,beta,gamma,kappa,detuning
1,-0.70382561308475067,-3.1374898898587156,1.5297753885477274,1.1870816510677531,0.050000000000000003
2,-2.3263483460076921,3.1378176061891119,-0.90776955587078023,-3.1404052654073618,1.7541962735651901
3,-0.94661922529310305,-0.23029875761137561,-2.9762828913451114,1.9059662914523012,0.050000000000000003
4,2.2511616193963619,1.1572787106997167,2.8299907340934052,-1.3933792555522497,0.12939371695429505
5,2.9075945471870126,2.807261023560907,2.3607799927104209,-0.16799118691941603,0.49753913940801481
6,2.846589721613753,3.1365369736582163,-1.8277261890161993,-0.00043322269770687034,5.1830490959357176
7,2.5430976517041453,-0.20473618391800577,-0.89171042822700275,-0.41038589821549459,0.28069526634070191
8,-1.0427839481121013,-2.9832546669998612,1.8818720103272946,1.8144666006379022,0.28716499275578278
