p,factor,eig_index,num_pulses,theta_l,background_theta,delta_l,state_fidelity,state_infidelity,phase_aligned_state_error,source_file
1e-05,feedback U_0,0,9,5.196308288585257e-05,0.0,5.196308288590856e-05,0.9999999999973195,2.680522470654978e-12,1.6372719587411743e-06,sequences/p_1p000000000000em05__feedback_u_0__eig_00.csv
1e-05,feedback U_0,1,9,-5.1963082885867675e-05,0.0,-5.196308288590856e-05,0.9999999999982456,1.7543744235126724e-12,1.3244963545660748e-06,sequences/p_1p000000000000em05__feedback_u_0__eig_01.csv
1e-05,feedback U_0,2,9,1.5707963267948966,0.0,1.5707963267948966,0.9999999999985223,1.4777068457760834e-12,1.215578152094154e-06,sequences/p_1p000000000000em05__feedback_u_0__eig_02.csv
1e-05,feedback U_0,3,9,-1.5707963267948966,0.0,-1.5707963267948966,0.999999999318929,6.810709773930057e-10,2.6097330278439083e-05,sequences/p_1p000000000000em05__feedback_u_0__eig_03.csv
1e-05,feedback U_0,4,9,3.141592653589793,0.0,-3.141592653589793,0.9999999999865288,1.3471224136196724e-11,3.6703613026062715e-06,sequences/p_1p000000000000em05__feedback_u_0__eig_04.csv
1e-05,feedback U_0,5,9,-1.837144857815603e-05,0.0,-1.8371448577969574e-05,0.99999999999583,4.169997680492088e-12,2.0421090099132886e-06,sequences/p_1p000000000000em05__feedback_u_0__eig_05.csv
1e-05,feedback U_0,6,9,1.8371448578162877e-05,0.0,1.8371448577969574e-05,0.9999999999996987,3.013145288832675e-13,5.489530470799545e-07,sequences/p_1p000000000000em05__feedback_u_0__eig_06.csv
1e-05,feedback U_1,0,8,-3.141592653589793,0.0,-3.141592653589793,0.9999999999976925,2.3074875343809254e-12,1.5190742628394285e-06,sequences/p_1p000000000000em05__feedback_u_1__eig_00.csv
1e-05,feedback U_1,1,8,-1.122963929865964,0.0,-1.1229639298659642,0.9999999995550786,4.4492143302932163e-10,2.1093157130691938e-05,sequences/p_1p000000000000em05__feedback_u_1__eig_01.csv
1e-05,feedback U_1,3,8,1.122963929865964,0.0,1.1229639298659642,0.9999999999923439,7.65609797781508e-12,2.7668770759853302e-06,sequences/p_1p000000000000em05__feedback_u_1__eig_03.csv
1e-05,feedback U_1,4,8,-3.141592653589793,0.0,-3.141592653589793,0.9999999589700417,4.102995831978262e-08,0.00020255853122293062,sequences/p_1p000000000000em05__feedback_u_1__eig_04.csv
1e-05,feedback U_1,5,8,-0.9443397806010899,0.0,-0.9443397806010898,0.9999999999954299,4.570122058566994e-12,2.1378431644406083e-06,sequences/p_1p000000000000em05__feedback_u_1__eig_05.csv
1e-05,feedback U_1,6,8,0.94433978060109,0.0,0.9443397806010898,0.9999999999594491,4.055089597443384e-11,6.367947914490449e-06,sequences/p_1p000000000000em05__feedback_u_1__eig_06.csv
1e-05,feedback U_2,0,12,-1.3335623725801444,0.0,-1.3335623725801444,0.9999999999985745,1.425526363618701e-12,1.1938433481843644e-06,sequences/p_1p000000000000em05__feedback_u_2__eig_00.csv
1e-05,feedback U_2,1,10,-0.5644623421270419,0.0,-0.564462342127042,0.9999999999993701,6.299405441723138e-13,7.938635251819036e-07,sequences/p_1p000000000000em05__feedback_u_2__eig_01.csv
1e-05,feedback U_2,3,10,0.5644623421270419,0.0,0.564462342127042,0.9999999999976805,2.319477943046877e-12,1.523072996246759e-06,sequences/p_1p000000000000em05__feedback_u_2__eig_03.csv
1e-05,feedback U_2,4,12,1.3335623725801444,0.0,1.3335623725801442,0.9999999999985083,1.4916956558863603e-12,1.2213406973204952e-06,sequences/p_1p000000000000em05__feedback_u_2__eig_04.csv
1e-05,feedback U_2,5,12,-2.274280484138433,0.0,-2.274280484138433,0.9999999999993936,6.064038160502605e-13,7.785948506211436e-07,sequences/p_1p000000000000em05__feedback_u_2__eig_05.csv
1e-05,feedback U_2,6,10,2.274280484138433,0.0,2.2742804841384334,0.999999999998405,1.5949463971764999e-12,1.262752154407155e-06,sequences/p_1p000000000000em05__feedback_u_2__eig_06.csv
