p,gpg_mode,GPG cooperativity,exact infidelity,GPG infidelity,GPG - exact infidelity penalty,0.5||rho_GPG-rho_exact||_1,Tr noisy rho,Tr exact output,Tr GPG output,max state-prep infidelity,total optimized seconds,baseline p,below baseline,wall seconds,cache_key
0.0005,detuned,1000000.0,3.6092774657880966e-08,0.0032001600827351595,0.0032001239899605016,0.046085474942904214,1.0000000000000004,0.9999999999999837,1.0000000000000413,0.14074212242008932,183.63386417168658,0.0005,False,184.0018929579528,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.0005,detuned,10000000.0,3.6092774657880966e-08,0.0006957814804859908,0.0006957453877113329,0.022589790654223264,1.0000000000000004,0.9999999999999837,1.0000000000000453,0.05371753813053748,185.26709303923417,0.0005,False,185.41764854104258,p=5.000000000000e-04|C=1.000000000000e+07|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.0005,detuned,100000000.0,3.6092774657880966e-08,0.000279397697110495,0.0002793616043358371,0.014096673282080387,1.0000000000000004,0.9999999999999837,1.0000000000000473,0.02418442362044937,185.40954595792573,0.0005,True,185.56102779204957,p=5.000000000000e-04|C=1.000000000000e+08|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.0005,detuned,1000000000.0,3.6092774657880966e-08,8.43561997262432e-05,8.432010695158532e-05,0.00515705522640345,1.0000000000000004,0.9999999999999837,1.000000000000044,0.020119516227208756,181.4107826645486,0.0005,True,181.55841870803852,p=5.000000000000e-04|C=1.000000000000e+09|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.0005,detuned,10000000000.0,3.6092774657880966e-08,3.646260767964371e-05,3.642651490498583e-05,0.0019532204672840056,1.0000000000000004,0.9999999999999837,1.0000000000000417,0.013172802335584599,180.8871367946267,0.0005,True,181.0344135829946,p=5.000000000000e-04|C=1.000000000000e+10|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.001,detuned,1000000.0,2.8663604256795594e-07,0.0018047634011167935,0.0018044767650742255,0.03272233220106543,1.0000000000000004,0.9999999999998519,1.0000000000000409,0.148250495035953,137.45437225117348,0.001,False,137.60870645893738,p=1.000000000000e-03|C=1.000000000000e+06|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.001,detuned,10000000.0,2.8663604256795594e-07,0.0003512596169048532,0.00035097298086228523,0.014106614451137565,1.0000000000000004,0.9999999999998519,1.0000000000000404,0.050112872586302926,134.9920994589338,0.001,True,135.13535175006837,p=1.000000000000e-03|C=1.000000000000e+07|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.001,detuned,100000000.0,2.8663604256795594e-07,7.707404751466918e-05,7.678741147210122e-05,0.0061232167093484,1.0000000000000004,0.9999999999998519,1.0000000000000417,0.016260029257045172,135.05087416584138,0.001,True,135.19901383295655,p=1.000000000000e-03|C=1.000000000000e+08|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.001,detuned,1000000000.0,2.8663604256795594e-07,4.662359168561281e-05,4.633695564304485e-05,0.004958739359332194,1.0000000000000004,0.9999999999998519,1.0000000000000422,0.005709039447053588,134.76520954398438,0.001,True,134.91372724995017,p=1.000000000000e-03|C=1.000000000000e+09|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
0.001,detuned,10000000000.0,2.8663604256795594e-07,5.070257629635755e-06,4.783621587067799e-06,0.0017778653505158269,1.0000000000000004,0.9999999999998519,1.0000000000000346,0.002069952142902065,134.2073589573847,0.001,True,134.34884058393072,p=1.000000000000e-03|C=1.000000000000e+10|mode=detuned|restarts=1|maxiter=180|complete-prior-v1
