p,cooperativity,factor,eig_index,pulse_index,alpha,beta,gamma,kappa,detuning,cache_key
0.0005,1000000.0,feedback U_0,2,9,1.5532545534462685,1.3310288635937257,-0.021851589314850373,2.3119549834207445,0.9080271790012555,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,3,1,2.8629638905520864,-0.41214951750333517,-1.835764092437484,0.7601963776859317,0.05,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,3,2,2.0177242338380568,-2.1829522493464872,-0.9518529553668877,-0.22633536274541802,0.2451576693525415,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,3,3,-3.0617374265392843,-2.8206094806414597,-3.141592653589793,1.4229735018702652,0.9548758829349896,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,3,4,-0.16512021737037344,-3.0937233427449007,0.854240412680861,-0.11619452657450494,0.3257882439590794,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,3,5,-2.537356822889449,-1.6766600645585503,1.3114546615423515,2.3716465552391344,0.7346514225236621,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,3,6,-0.03198986265117947,0.9250652387333335,1.31571107286325,-0.09702366846143659,1.0244106549049021,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,3,7,2.081378099078862,2.704904901760262,1.6548294049292191,-0.8717877933278118,1.5729088403910754,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,3,8,-2.7665976096236697,0.9647689789819277,0.783000500585037,-1.2287873569920635,1.5423287702043746,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,3,9,0.5110868425384413,0.18675040390635217,-0.21976554990616942,-0.11746493452204762,1.1442052069425124,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
