pulse,alpha,beta,gamma,kappa
1,0.12019219229419198,-2.025561960648406,-2.241541598977198,-1.1876909265948798
2,1.9951628499432335,2.7149486744568696,-3.0587508874934692,-0.6304448270076176
3,-2.2261323632347434,-1.2034924867477799,1.8611895292443146,-0.05679431679707591
4,0.5302673407958696,3.137180451619123,0.7628914605136435,1.1037689844881946
5,3.112973717233312,-1.8692411218006109,1.6797126697985674,0.7674083194498259
6,2.6225651470967652,-0.9208842383698156,2.0716170353144934,-0.13429133134223015
7,2.5904837915346905,1.3735589517968099,2.568759747567055,-0.8181175943560043
8,-0.6406327348609568,0.8888042113180559,-1.632763471795228,1.954878682614323
9,2.8389285489614764,-0.9255164791443412,2.1414116096924425,-2.5291974931470675
10,-1.6691204063989193,1.4718657895604057,1.363285216433464,1.773268252289945
