pulse,alpha,beta,gamma,kappa
1,2.1742277089375426,-2.064697783165401,-1.6675909629703316,-3.1415925680712125
2,-0.9606773742764375,-1.2679892532051762,1.433303410429044,-1.1512947836279506
3,-1.405025518095554,-1.962711760273607,3.0169205302175337,-0.06763552096559489
4,-2.352695528400519,1.553782525235989,2.6827585305645485,-2.8549325248212005
5,1.9384600194886976,1.038539949446965,1.0039213446104762,3.1415917270211655
6,1.9153042249844285,-2.8925072045966105,-3.032022606247014,1.4884717824550326
7,1.1355704828834383,1.0350899140932266,1.9308770204198462,1.7617430355547437
8,3.114510980384388,-1.1893569015007517,-0.7030075979445846,1.7485753464668221
9,1.5778752541799153,-0.04303001826573262,0.9763799369915079,-1.2115807543637662
10,-0.6071823219391369,-3.071394449015937,0.6031374690840497,-0.4886879873187431
