pulse,alpha,beta,gamma,kappa
1,1.4661083141873508,1.7255708173785345,2.322453845340761,-1.5435585016208682
2,-1.4902132817628466,1.3602883138066757,-2.777306480130623,-1.1259925154901758
3,1.9200497727616688,-0.6915962433744551,1.3729624077144187,-2.9804080053047444
4,0.7159652825060576,3.1392987041902125,1.4751275672480957,-2.9681954674402635
5,0.9805980909155223,1.813216089977823,2.664858153159256,-2.867531825807676
6,0.0998544517539737,0.8313196205172512,-0.030263963618163168,2.3993841021559783
7,0.2517647893720963,-1.835943273005664,1.9942687934530992,0.5647764917212151
8,0.17391259142100365,0.5827307824780891,0.9879950492735179,-0.5431850732904125
9,-3.058262356276598,3.1248684953592156,0.18173365893460655,1.8979671408407872
