pulse,alpha,beta,gamma,kappa
1,-0.5513168503663906,0.9649276579239561,0.7952083412079609,-0.29798186300399887
2,0.7251103713452095,-0.4434816767265179,-1.6946796363353258,2.780307059285728
3,-2.4135585777050523,1.2925405171412896,2.0766950923777436,0.8606097121839604
4,-0.90137292914684,-1.2154619320158353,1.259772926866951,-0.957863981826321
5,-1.4081516822329605,-0.6892259447772455,-1.4350375129656077,1.9686002652162096
6,2.78908402953879,2.8250395742401375,-0.7242061555375392,-1.3274618752481544
7,-2.6936624957987068,-1.951659352302859,-0.18350031878016207,0.25545352752285383
8,-1.3318448019572,-0.3012356816090327,-0.8043636494063333,-3.1057604107948844
9,0.3992279546060599,1.5335605826327536,2.976939528310523,-1.85164545244016
10,-0.628866865669843,2.5021232446075983,0.1942296619245216,-0.10249438647844739
