pulse,alpha,beta,gamma,kappa
1,1.9235407694905224,-1.0837685371218642,0.6199180098250046,-0.5436688257374445
2,0.9079612017183246,0.002407688859576983,1.1476626724543733,2.8048039801338724
3,0.05102343086872485,-2.79940173075536,-2.9408526747651025,2.781121244060395
4,2.8856423710446113,-2.4968324959834685,2.0330788820973438,1.9712082172808434
5,-0.6914444551111704,-1.2034358316656208,2.7140978089118732,2.754992202292523
6,-2.6717605200254146,1.5858127190883229,-1.9364039167065261,-2.615407299361842
7,-1.0244292092507317,0.8470124216497474,-1.9732041036034336,-2.0575340726809648
8,2.8363379081178532,0.22650908484982954,-1.594886913892928,-1.5500246351383309
9,1.6934035883234402,-0.3201185969475034,2.9020881009769197,-1.5453243200113582
10,0.608749134620824,2.9187452197696038,-2.389910961351544,-1.7129222834608406
