pulse,alpha,beta,gamma,kappa
1,2.0533993276109723,-1.1195458561001497,1.7066656972555356,0.8979368012014611
2,-2.748877653532743,-0.9434405396267209,-2.9787356467911716,-0.19433549178386558
3,2.16906604472445,1.8972088821906794,1.3159418670524794,-1.2845540371367066
4,-0.33410684525158585,-2.6310434025839906,0.5326157154916683,1.362578599897816
5,1.658860416518451,-1.8496510099275794,-2.255981692147139,0.6219878463803177
6,1.4802136634129268,-0.6839731998648014,-2.259080620730896,-0.11509571425730517
7,-0.7586769512714577,-2.042900467933972,-2.159760864837311,-2.793840783072536
8,0.9373592444930028,0.45207954815610457,-1.2262304457533069,-2.3608186384535603
9,1.0124916490971916,0.14826297162664578,-2.568387622257487,1.6835101419487448
10,2.013164779219488,-1.085111672934066,-1.1800914571090315,1.0000591106773988
11,-2.5916560169422835,0.6829085097331292,-1.003166222232347,-0.23234891984002834
