pulse,alpha,beta,gamma,kappa
1,-0.30739314823546793,-1.0032849016832752,2.4276749809491776,2.5056620301361257
2,-1.5288320320910571,2.2633459990189273,-0.6957851590721682,0.8223804020320705
3,2.04033376929955,0.6087966163997444,-1.2402707933904267,1.9984534573292552
4,1.1656908983943304,2.706440911973967,-0.0037879413300838764,2.7561706276108664
5,-1.498304087028595,-2.7537483676804757,-1.992754134321356,1.0236906162112502
6,-0.3273967478187203,2.1401471018537275,-0.5132700615704382,2.6950663137239017
7,-0.863574437948698,-0.23515308388900957,-2.6350399592093354,0.3164814203634046
8,1.8988172119622606,-1.4245746316096368,-2.2788673938741995,-2.9188728371706745
9,0.6395778396109046,2.3231645205410234,1.2037943808256977,-0.5092644455933909
