pulse,alpha,beta,gamma,kappa
1,2.1232889865563074,-3.01912338873327,-2.019418576899123,-3.0615831214236806
2,-3.1054039072947526,1.0269859069358558,3.093448227946291,0.917528995741304
3,1.90851535878212,1.6476561860252894,0.2782296587607837,-0.2686173283065709
4,-0.2972618758560703,0.7799979263858445,-2.4462762513305987,-0.9962668777263697
5,0.9728373513553497,2.8675197346476864,-3.09974299489597,-3.084388321067858
6,1.873674994555057,-2.7165526198928687,-2.6063348098447743,-2.897523671634411
7,0.9376377519204845,1.3124746766018753,1.0274630265219524,-1.361184067520106
8,2.8858204652100907,-2.5700126504584664,3.1127433078201423,-3.0727126185746227
9,1.8505178144747827,0.7633720494988774,2.576761532383509,2.9720424622712516
10,-1.3030083310159157,-2.848483965717006,-1.0609130040188879,2.649860110233774
11,-0.9554688888623073,-2.525363886884669,-1.5527584240272438,-1.4112476929342292
