pulse,alpha,beta,gamma,kappa
1,-2.113634062311332,-0.49539621865638406,-3.1415924525772856,-0.22740975356884538
2,-0.06096789703245552,-3.1383710648358156,1.4426366071617933,-3.0550653412119555
3,-3.099351068589832,3.074287621983287,1.7993700029231852,0.5034385696697257
4,-1.9481761984091224,-0.6372207473617985,-1.654690160215069,0.5319333550278958
5,1.6595423581348934,3.0530077501439465,-3.1172112431189873,0.7441723122861088
6,-1.2147372329936368,0.9768224973267028,-2.746419986567608,-2.4562156937940256
7,-0.34321272887236143,-1.2237872147430346,0.007929779350455309,1.478307102795746
8,1.7920612947364674,1.2501014081274608,2.5313759682163894,2.703472597763608
9,0.9456323689689132,0.47306041525760256,-2.6051137434504583,-0.31960617082557546
10,-0.8384361725744786,0.17550509171043716,-3.1405750741646496,-2.0305098620289317
