pulse,alpha,beta,gamma,kappa
1,1.518073300750012,-1.8403324816925106,3.1415922800710647,-2.6656021907843193
2,1.4574796935877006,1.3892552649813439,-1.9291856890490622,-2.2586050373199607
3,2.846223721035052,2.8719824865762322,3.0876963625499707,-1.5554402506720344
4,-2.4911990596551195,-2.505516651496312,2.1693242750612503,3.0341565296514914
5,-2.5654204282538156,-2.833857739383472,-2.009815578697048,2.068817033348912
6,1.0158108358319948,3.14158226762635,2.0954502089699365,0.6184277690015975
7,1.3598646832750367,-0.6313541815111582,-2.146541515353357,-2.976155211127697
8,-0.3873295050810766,0.26975543189500384,-2.6647650204058793,-2.510020516241607
9,2.973871262829424,-3.1415887902403443,-0.9341164009738836,-2.2861268467531324
