pulse,alpha,beta,gamma,kappa
1,3.0049809194864063,-1.0870421524795217,-3.1240295362386097,-0.44588426055113395
2,0.5421745253060215,0.9022783344343352,1.3306124968844772,-2.4023834693856307
3,-0.028626226709065044,-2.2826753196518177,0.9532302160013572,2.003593075221559
4,-1.3975118523732974,0.8395977561464149,-2.2557976285980303,0.3965306524333598
5,-0.016136406139114674,-1.4440454091336743,0.03195956320666213,-1.3245702668500206
6,0.3981761304556738,1.1111585884884447,-0.5139113561529696,1.3486691069106609
7,-0.833560205823332,0.692383070539151,2.0431397620704614,-2.5477679074003743
8,-0.3834902882337873,-1.7052667814979587,1.1131618874515594,3.10398687197967
9,-2.9970081131506845e-09,-1.4985040565753422e-09,-2.9970081131506845e-09,1.1238780424315067e-08
10,-2.9970081131506845e-09,-1.4985040565753422e-09,-2.9970081131506845e-09,1.1238780424315067e-08
