pulse,alpha,beta,gamma,kappa
1,0.3630884691016643,-3.134150368494943,0.7224305324015102,-3.141592652956719
2,-1.6339781376104379,-1.8801091848855913,-3.1415524796193526,-3.1097461253701204
3,2.71278160007445,1.8820661975821147,-0.07877436767405771,1.1281436504902762
4,-1.2419963892822858,1.7708305341488233,0.3834463490882986,2.9819537281199566
5,2.288344113795822,-0.050967102483038346,-0.6926523512572127,0.561542547546054
6,2.986822991713734,1.076453353159014,-1.8922407704809265,-2.9915598670802455
7,-0.9812057159568031,-2.7197133015934667,3.028245662374197,-3.0259016676542414
8,-1.2211253301361864,-2.1204217980866114,-3.033308989423587,-3.1042831709104406
9,-1.1717271389125972,-2.123307405906612,-2.734012685672345,-0.26892955661275586
10,-1.9007427055134374,-2.6843959372984854,-2.4824205072993077,-1.8126829987883268
