pulse,alpha,beta,gamma,kappa
1,0.9672202899954042,-1.161578846148338,-2.4410779534293487,2.417753053022542
2,0.2362746191847993,-1.3105389731280281,0.9004835698660149,-1.8565900855365036
3,0.20106697004221796,-2.6449942446083456,-0.7515638937804867,-0.49010771075722126
4,-2.793495667747993,-0.23537495412095555,-2.7503446213100062,-3.1415922978686237
5,-1.0079246683354626,1.1104779350202016,-0.36732840337986544,1.5936553193343657
6,0.6133952215154262,-2.9282249551986173,-2.2005090554688302,-0.6335913977828472
7,-2.41862116288408,1.368953875450162,1.0637167591295764,-1.5039603607191134
8,-3.1266838337750715,3.0323052868373304,-1.6477790865033604,-0.5317314248280474
