pulse,alpha,beta,gamma,kappa
1,3.1094509701464927,-1.5743190892673562,-2.9619419369304114,-0.4073301784781638
2,1.0473025451789286,-2.1876422294184197,-2.1467976429382394,2.6361465085202864
3,2.0382667067584137,-1.2015910455256886,-0.4438821856675242,-3.0920499137971365
4,-2.592321223558681,0.8064041252584617,0.5226691329413822,-2.5062647525752055
5,0.9410560311322362,1.785181039301985,0.3829074744265252,-2.132967243208703
6,1.576374941558921,-1.3487712085109735,1.9445180177219656,-2.857291376939894
7,-0.19717408343349643,-2.1387834297146973,2.9126695253063297,-1.8676902725689508
8,-1.1079676521418325,-3.065954077199321,0.06889115970363636,0.8685664480578914
9,3.1192287120772293,1.2594850842200271,3.097260058428907,3.0890932788857213
10,-2.456099643855659,-0.3434341350159791,0.8100396487958649,3.140992132419856
