pulse,alpha,beta,gamma,kappa
1,0.17364744271652924,-1.2970395440949685,1.4930681337336542,-1.5768829924543066
2,-1.7513697054302817,0.8567804263901239,-0.3833877816909163,-0.15671573202621988
3,2.3032402956023392,1.1024296296685292,-2.1172498224869902,-2.4455574251447767
4,2.278690303915906,-2.0009158237382443,2.6465266630398263,2.6083918454438786
5,2.631975397638679,-1.6031768355908955,-0.5451927465639259,1.3794655427123794
6,-2.062338572691309,0.5254187509290325,-3.0596221276770317,2.065888061749168
7,-2.0580061848177347,-1.9626557871163626,2.792230421398722,1.0165988712510032
8,2.4136403694148747,-2.2463354784139478,-1.1412411020861528,-1.1158232019690302
9,-2.802403556292497,-0.7355515673059598,2.095798983858634,-2.5888811773460096
10,-0.7577790452829705,1.585144606527161,0.7422377187635081,1.3800896593810725
