pulse,alpha,beta,gamma,kappa
1,2.2559733850250523,-2.165451794416629,1.6044523811091735,1.776689807673822
2,-0.1507354103810101,0.29107966986304584,0.9275147397351322,-2.859450169649357
3,-0.36424200422040576,-1.713185356700328,-0.4882522612587017,1.0390739749730658
4,-1.836765583955328,2.545535660977245,0.30220039836471896,-0.8195311142814149
5,-0.005151743906378476,0.2592189494164791,-2.4832961218624914,-2.1468396679741524
6,-2.2523117247929494,-0.4048664364915952,1.197423658454559,1.0130570536147228
7,-1.38724050765746,1.1148782253795215,-2.2432562448061844,-0.838358608109694
8,-3.0267777397924696,0.10209582012933978,1.1471844715303032,-1.4711668421947186
9,-1.2048295235603361e-09,-4.8193180942413444e-09,-1.2048295235603361e-09,-3.2128787294942296e-10
10,-1.2048295235603361e-09,-4.8193180942413444e-09,-1.2048295235603361e-09,-3.2128787294942296e-10
