pulse,alpha,beta,gamma,kappa
1,1.8141397476325225,-1.877891120332472,-0.9016197244828453,-1.5008864673962283
2,-0.6618053431784217,0.2500909480294274,2.56042472532801,1.8004161889261683
3,-0.42032913347984585,1.302451923814697,3.1340527060079055,-2.8713727739245156
4,2.1222929387505354,2.779211988940472,-2.945327388645243,-1.3325242579788534
5,3.0458481715141623,2.608283996701594,-1.373849420911762,1.2438190961154605
6,1.935170674992696,-0.4212702020709431,-1.0298794327232228,2.1471980974463
7,-0.35556028276223195,0.4404148207780861,2.9274045952867955,-0.012253175005108743
8,0.9908940307374912,-2.0046920158035624,2.6778866819879794,-3.140906200248041
9,2.4674674044692697,0.26669389447408365,-1.74044304261375,2.9493520158983353
