pulse,alpha,beta,gamma,kappa
1,3.14156184228568,-1.7169555051877932,-1.731136485002498,1.9603640428975988
2,1.3418830343592874,2.5001168591982155,-0.17532936952150258,-0.8693319128548627
3,-0.5831026190513803,0.7307694915394314,-1.1633077879958513,1.5190420042471466
4,-1.7852299517417871,2.504244100490709,-1.842609812588558,3.1227947844712376
5,-1.8528806260715902,1.8671944467357762,0.47117383864449813,-2.982366755682382
6,0.5451451044570763,-1.9503830845274384,-0.7063264673423257,2.4178807603335835
7,-0.0008364386813766993,3.038007083066687,3.076422913292536,-1.6087135340354861
8,-1.1987394082537708,-1.952614845706102,0.7830342836932972,3.1210169728777113
9,-1.1821574196620293,-0.2459505995824381,0.9100994370806816,0.2691165302839069
10,1.8311366736043997,1.9025684813587682,1.5448580437280615,-1.4868790050069778
