pulse,alpha,beta,gamma,kappa
1,3.0349713110994774,-1.2745458887408476,3.1415925355509646,-3.1415926334786026
2,1.3581533814963112,-0.4338898285891336,2.9072857317061906,-0.5659589010780597
3,3.1407976925295547,-0.38123900830374413,0.6936631006275243,-0.41228033970230915
4,1.0784119060705903,-2.5651821276002016,0.4703679305815209,-0.40631608997600654
5,2.826024561056699,-0.4188606504354297,2.6889715132855985,1.8656514608695134
6,-1.5255041871975101,-1.8383798535536815,-0.5853057080719756,2.9747167614020094
7,-0.25545746809116826,-3.139557129165734,-3.1298905941929,-1.645950685727111
8,2.21622541132093,1.2309520109494887,3.13917546149382,1.6777204127656509
9,-0.01589642796532785,-1.23929386795412,2.324555333108675,2.119303392505401
10,2.171258343371109,-1.0500869188442536,0.1693492732008998,1.5320045453898476
