pulse,alpha,beta,gamma,kappa
1,2.70348777184372,1.136724715170177,0.7730661256342404,-2.2248451099066426
2,-2.5575570191688137,-0.7742984186917425,1.1179829251818134,-2.764983202141796
3,1.1418987893463493,-1.9152268999011877,-2.1097321871817187,-1.525926087945461
4,-2.6761683305608104,1.1421825370705998,-1.2824207523887763,-2.961113073913283
5,-0.5212603115052474,-1.9940645418795562,-0.020671606898464152,-1.9693160400095726
6,-1.1628291628749534,2.9705411033234412,2.655325847990375,2.7580256810991894
7,-1.694788393537435,-0.3578649954982676,2.7353831342781234,-0.2628347819593696
8,1.2583625676005235,1.0596790203369264,2.0793750916401,0.5998850295687423
9,2.0824796852608958,-0.1940981728989315,-1.974487157046639,-1.7806043883446228
