pulse,alpha,beta,gamma,kappa
1,0.8363686009729694,-2.2035791951328743,-2.5233085041652603,-1.60796083039787
2,2.6546578170705804,2.6873034900013684,2.3916161200180115,1.5979361503315876
3,-0.7702560402887086,-2.37261068095897,0.2596285630934394,-2.211533347245077
4,-0.548213022213967,-2.9240261233431544,-2.5221195007237807,2.8722013858927142
5,-1.6345631883725187,-0.7282002062168459,0.06763382969553346,-2.93835627008313
6,-2.9053371394263,2.009661760787364,-1.2296863278591386,1.2859745976133734
7,0.33390161768359383,2.707268315064612,-2.077095570917345,-0.3618222614001555
8,-1.4970221977559042,2.6281521484012975,0.7500181833415108,0.5621017889629604
9,-2.525057108403935,-1.9704453064118925,2.284464843160969,1.641183723203742
10,-2.300284373451534,1.9905157184955844,-2.3619055106742426,0.900228465494043
