pulse,alpha,beta,gamma,kappa
1,1.6759975758185486,0.9573787989666055,0.18608997892666235,1.8982926701885303
2,-1.2268933143884857,-1.7521963650060528,-2.8329090418490006,-1.8357526634609564
3,-1.3487967066280164,-1.1050743391303834,-1.3069706041603302,1.5458011337886777
4,-1.6270505874589436,0.8945444588211846,-1.051297708407668,3.0059898418141517
5,-2.5489445929687617,-2.4514904309612224,-1.0481821852760773,1.4138520980140776
6,-3.00740327605341,-3.105398787472301,-1.907703600361063,-3.095698849122857
7,2.7863793510773154,-2.8989584267107453,-1.8318138873619871,-1.1239821730685284
8,-0.2216138118088695,-1.951312569508026,0.8725057011927138,-1.7975012631419445
9,-2.9061824196509023,0.11720081825590006,-1.6322677558282037,2.943339561832179
10,-1.393092192209201,-0.2290987052353047,-2.2497846506740564,-3.063125516490991
