pulse,alpha,beta,gamma,kappa
1,1.0936981436681046,-1.4965017228067061,-2.289130111647374,-2.1512821632973336
2,-2.9455917295332306,-0.48778653313904735,2.9755569335946848,0.8392150399330051
3,-0.37551940083538526,-0.6867914528990678,1.6268010058169524,-0.2409961445111759
4,0.5844413858420784,-2.4925094286061746,-0.9357020868549072,0.7897107060370532
5,0.058007005769008066,-2.810065796494216,-1.1453759116186628,-2.251806095266296
6,-1.143193882880099,-3.1092426083470532,2.921245042191258,3.0203052829262025
7,-3.0422495908612888,-1.7387554980702233,-0.9194090913009947,-0.5534585100535292
8,-1.8711378616115002,2.261053106408094,-1.6158861431327376,-2.699557004954312
9,-1.6892051762176454,-2.064875462263087,-2.2641473102153933,2.3569319146206302
10,2.8668231927618693,1.646340882343724,-0.07653232374948583,1.6143141225501472
11,1.166317958732458,2.1856810134424913,-0.05814829337597251,2.273489795408755
