pulse,alpha,beta,gamma,kappa
1,2.7676466791997476,1.8642736626608598,0.7793869913564863,-0.07926365569329971
2,-1.8826787237242906,-2.560185344450784,0.23557831336308332,-1.5955149694924375
3,-1.021216279102652,2.548151348856455,3.085294294968439,0.325331501612839
4,2.412264831042165,-0.3919105864999645,1.693563426749452,0.3315863720317802
5,-1.121184228401971,0.6448436597450602,-2.576436859621051,-2.1462879859304347
6,-1.4694098549013725,1.220612148689945,-1.5260555750129599,-1.4394012897436517
7,2.0890769263611113,1.8843878538512349,-1.4246632127310368,-0.16269990727055936
8,-0.18009851887836634,1.029512931710248,-1.9394799139227052,3.0833002477545093
9,0.6363700028913011,-0.24468388990759782,-1.6744439678975924,1.3385918493530171
10,0.8478315499833972,3.079058772863193,-3.11714983058942,2.3182267514264403
