pulse,alpha,beta,gamma,kappa
1,-0.0051984371651479155,1.5620510894491713,1.4789667582050945,1.8035163835525605
2,-0.0180130554688255,2.5352371988797957,1.265769593688778,0.640271757800993
3,0.284656062199053,0.1582164274656523,2.7027579284954957,-2.8084524436112894
4,-1.596469014202805,1.4695219500375094,1.2926435334832078,-0.3040834584060435
5,2.507928882781367,-0.11118766647129483,1.578819615134325,-3.1274559404007527
6,-0.6662099766471892,-2.4429450732750184,-2.669532128497866,-2.3607371914753297
7,-1.58871688269234,1.1175968132257352,0.6116285801830297,0.4482301601561769
8,2.649889854645191,-0.5093276531037667,1.0648050211199471,-1.0581777664969696
9,-0.14554806552659372,1.028745495690267,0.026368764660730244,0.40097510239635376
10,2.5552488170758814,0.06299152306492162,0.21373222025719354,0.22833074609810647
