pulse,alpha,beta,gamma,kappa
1,-0.7334782009230256,2.0685741428111966,0.7800758764647876,-3.0414936382249373
2,2.4032945260975276,1.7006136146588653,-0.051910655937664384,1.0225224959619994
3,-2.509945592933555,2.2071892504830295,0.24412897702654426,-3.030150352721749
4,2.7540231447261987,2.039134839354805,-3.1403030606281797,-2.902888453061554
5,-2.434107092761325,1.141405195543266,0.8224624398261814,0.007503375599632036
6,-0.6331880304602332,0.7828510703707818,1.2847230313837823,-2.9004981399513516
7,-1.5535570139097563,3.040302158785879,2.4213104510985284,2.422188235773667
8,-2.712235963412541,1.0653316343151815,3.109670693000805,-2.8182493688623693
