pulse,alpha,beta,gamma,kappa
1,-0.055524444636014594,-2.0442315714311583,2.7339521619911737,-1.26941399537422
2,3.135426048609183,-0.8121281411862596,1.9748984455781808,-0.12349285420448301
3,-0.6004681013473387,0.6124160362349083,1.6167898098125877,3.0405597867536205
4,-0.9324910060106675,-1.121267884080188,-0.9954512359394437,1.2585651361210335
5,1.040319671694811,-2.120041672108013,0.5016437121452143,-0.7975358636226928
6,-0.45345517069924185,1.0335419535830483,-1.6701846084712737,1.253797776702235
7,0.41139841411044936,-1.2008124157074282,1.3126939970890552,-0.41640071454563365
8,-2.0497342169817414,-1.1059563378239754,3.105982497641958,-0.5807015098603011
9,-0.1396920818348756,1.8851331357014853,-1.0714402656984283,1.0855533637330796
10,-0.5660202241941764,-1.5859105430098643,-0.24430247511022413,1.7293248485984207
