pulse,alpha,beta,gamma,kappa
1,-1.280989054131149,0.6568449917710074,1.7017014629618208,-2.0470446693846065
2,0.32881212248726854,-1.118472323921065,0.20014669395360635,2.114452576563486
3,-1.1442156281466118,-1.7185546178752975,3.0083188138792556,2.5818816535300053
4,-1.494421160288606,-2.071651536324718,-2.0074507324876576,2.8236192321071267
5,-1.6506646365050446,-1.7864073958095419,-2.8198693809138637,-2.4837063273425426
6,0.34943462709441997,-2.1828628980990152,2.5867575195834034,-2.8574434534700517
7,3.1013049034713633,1.81467762553222,-0.913501138561586,-3.0544821460169316
8,-0.5375518799824385,-0.26356838404414906,-0.02380524332625859,0.13504572596256995
