pulse,alpha,beta,gamma,kappa
1,-2.460881449096584,-3.089710753405523,0.33293567406867053,1.8276872160748852
2,0.14997880286562518,1.1114792122044643,-1.1642646121061042,0.8526472765936239
3,1.519201787886684,-2.416078597028289,1.6812954831864229,-3.1154059248604336
4,1.7858056771202602,1.458616917520551,1.139185069183422,0.42612632548204404
5,-2.231295348953357,-2.7905600080296202,0.6847905773161574,2.519425815252834
6,1.881046083852925,1.3395320946001927,-2.7609811845008787,-0.9402325791420321
7,0.1571529082249157,0.5808148245457941,2.1314576524242628,1.1829593860381802
8,0.4605109516965784,1.1184731088520306,2.463551448133164,1.1818695721684342
9,-0.05235148961694368,-0.9931997575882938,1.9319532827007049,-1.2352788676419175
10,-0.13436778380007391,-3.1191904167494893,-1.5160533258971713,0.240135678404474
