pulse,alpha,beta,gamma,kappa
1,-1.3624824562331372,-1.687577498923522,-2.532361343804749,0.17739264188591777
2,3.1377717048653153,-2.5257957104015634,2.6067058284102047,-0.6835696560951725
3,-3.0991049922580958,-2.9905414548847427,1.429469775338144,-1.5229803267186521
4,0.06528336705973602,-3.111575613025249,0.2287354437609862,-0.8600553225754392
5,1.203231601160733,0.1529673364484718,0.7455421136659262,2.1525945551232666
6,0.37996119864279304,1.4794595056772015,0.8286088754475469,-0.6189295169560354
7,0.6407287756900392,0.15210319997842603,-1.7440587767434226,1.2363527078801422
8,-0.3368364617790079,0.036631188124074315,-0.29240491475598146,0.6904603469849792
9,0.13997547638785102,0.704270004690418,2.8174174932016363,3.056398420974192
10,0.44521569083839374,-1.1165393875726957,-0.4496271337227106,1.031418043651907
