pulse,alpha,beta,gamma,kappa
1,2.946570396047395,-0.8686947995896099,1.6038824507168272,-0.2128276940921117
2,-3.095804154086855,-1.2146370277270233,2.575160167516518,-0.3189382979383785
3,-2.149248514680366,-1.5758608827273157,-2.0305300883772444,2.047741059334989
4,0.8191557369746604,1.4006915619764857,1.3825716674735524,1.536257049479188
5,-0.8036847269988537,1.7376292906369204,-2.6908587948407834,3.003719317234383
6,1.7538799839595138,-0.48965141098930953,-2.264798684102648,-2.859745706546698
7,-2.874619063916028,3.1387458610046473,0.5913238189047366,-0.7257527370749391
8,-1.8800507281152825,-1.6044689843227788,-0.7237759507160826,1.2609994434235865
9,-1.5234916126890121,-1.4186516327138716,-1.135015440215421,1.9712311806189766
10,-2.839390432208525,-0.026313147474498262,1.0537969287532338,-2.2394253554148236
