pulse,alpha,beta,gamma,kappa
1,2.9465712549049314,-0.8686956718527347,1.6038824070232751,-0.21282772711305598
2,-3.095801591832208,-1.2146387885076562,2.575161015411201,-0.31894095706071585
3,-2.1492492459008092,-1.5758658350156467,-2.030527536846354,2.0477435819832404
4,0.8191557679523477,1.4006908340610051,1.3825709277251819,1.5362581726773026
5,-0.8036857927675285,1.7376277986577335,-2.690858761435777,3.0037181799673873
6,1.753881169113354,-0.48965097024158133,-2.264799723483796,-2.859745333303998
7,-2.8746203036811386,3.13874420496201,0.5913250380096378,-0.7257521166955613
8,-1.880051942790164,-1.6044721103850825,-0.7237771755997918,1.2609992935891465
9,-1.5234902349038422,-1.418647703046669,-1.1350166327768538,1.9712322046604283
10,-2.839389108676099,-0.026314886679763387,1.0537983292713642,-2.2394266126760805
