gamma_dt,pr7_plus_no_recovery,pr7_plus_optimal,pr7_minus_no_recovery,pr7_minus_optimal,kt11_no_recovery,kt11_optimal
0.001,0.006015650463915723,4.872715509751657e-06,0.006015650463915612,4.897348084176301e-06,0.009367497749712461,6.679301122636261e-06
0.0017782794100389228,0.01062612327166057,1.5823133028058933e-05,0.01062612327166057,1.5823673884640677e-05,0.016426072364955746,2.3303506413330233e-05
0.0031622776601683794,0.018673832720122907,5.249440199106559e-05,0.018673832720122796,5.2494427221549955e-05,0.028499842953512378,8.601928941875947e-05
0.005623413251903491,0.03252241228536479,0.00017921033767276384,0.03252241228536479,0.0001792103290187974,0.048557209049149286,0.0003386319738369892
0.01,0.05576657322375833,0.0006352730629213266,0.05576657322375822,0.0006352730564167519,0.080253267953044,0.0014196770834744576
