gamma_dt,seven_no_recovery,seven_optimal,bgm_no_recovery,bgm_optimal,gross13_no_recovery,gross13_optimal,gross17_no_recovery,gross17_optimal,bare_no_recovery,bare_optimal
1e-05,0.5000524969134439,3.242213941767602e-09,8.63850282959433e-05,1.3759588690653857e-08,0.5001624694637895,2.9611595064871213e-08,0.5002690864838604,6.274797181848868e-08,0.5,4.999981670694709e-06
2.1544346900318823e-05,0.5001130935076328,2.0179701021305615e-08,0.00018608108493245457,4.0792714983695084e-08,0.5003499539346492,7.654220535169287e-08,0.5005795299579558,2.2897244100761327e-09,0.5,1.0772087160271226e-05
4.641588833612782e-05,0.5002436169600231,2.558838718691447e-08,0.0004007611466864125,5.674590575210914e-09,0.5007536004909632,4.0165054171481536e-08,0.5012476349319167,7.710924565529353e-09,0.5,2.3207540841951868e-05
0.0001,0.5005246916069466,1.8240213672804373e-08,0.0008627720242735393,2.3977881014047853e-08,0.5016219484316669,1.905292037474027e-07,0.5026836638563086,4.9794947054593315e-08,0.5,4.999812558703631e-05
0.0002154434690031,0.5011296470835509,8.83792998784827e-08,0.0018558131318391347,1.1853763326463709e-07,0.5034868035217519,9.021248936758042e-07,0.505761962352978,1.2029761076171044e-07,0.5,0.0001077130321378
0.0004641588833612,0.5024301945273221,4.107087507865259e-07,0.003984485596353671,5.884103859710166e-07,0.5074770017978245,4.312362285707749e-06,0.512322479071468,6.382521495762461e-07,0.5,0.0002320390611696
0.001,0.5052192114154407,1.979536628615719e-06,0.008521083225820125,3.089943769962744e-06,0.5159467339220865,2.191460366018916e-05,0.5261309993444641,3.5193135883293536e-06,0.5,0.0004998125904808
0.0021544346900318,0.5111681751355962,1.0101627069158958e-05,0.018070090588140575,1.8277456967918937e-05,0.5336135780599062,0.0001192495409074,0.5544279121885891,2.232400576518412e-05,0.5,0.0010763476539399
0.0046415888336127,0.523709544665399,5.574302570998668e-05,0.037646405372595004,0.0001238333878884,0.569069179957888,0.0006990098364741,0.6092023826254793,0.0001495979314618,0.5,0.0023167601005125
0.01,0.5494756171492708,0.0003430162530984,0.07562640496804562,0.0009199807714497,0.634319941593895,0.0042242535081846,0.7032585992687594,0.0010997100266841,0.5,0.004981302038026
